GEOG,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,Year
Albany Park,51575,13354,13738,11975,8232,2329,1343,604,33.68762575,14932,24892,2337,7883,1531,49998,41047,29653,27243,2339,11394,1041,25729,12814,2494,8580,1622,219,N/A,3413,7459,4184,1355,34065,7378,8192,5068,2047,7339,4041,3627,3835,2967,2091,2259,1632,55560.95737,16411,6415,9996,1685,18096,3413,226,3476,3654,7303,5.355693868,834,1612,2924,12726,,4353,7239,4790,1336,378,974,2782,1935,683,274438.4546,17805,Health Care,Accommodation and Food Service,Retail Trade,Professional,Education,2516,1939,1886,1526,1505,4977,Health Care,Retail Trade,Manufacturing,Administration,Information,1081,784,618,534,401,Outside of Chicago,The Loop,Near North Side,Near West Side,Albany Park,7184,2563,1390,769,560,Outside of Chicago,Albany Park,Irving Park,Belmont Cragin,Portage Park,2130,560,222,154,144,,,,,,,,,,,,,,,,12281,,,,,,,,,,1.660925123,1229.160488,302.8772592,0.246409856,295.5282393,0.240430963,34.52091519,0.028084954,75.0401623,0.06104993,53.80426522,0.043773182,20.18811455,0.016424311,413.6236539,0.336509071,n/a,n/a,28.1029245,0.022863511,5.474953959,0.004454222,4022,4412,2725,5252,10752,1534,5659,2281,22,170,2089,4867,400,1225,3242,2947,932,1282,733,5906,4243,1136,527,25587,22290,47877,16365,31512,16525,16365,21012,967,294,2310,621,650,1801,3294,563,15866,26741,1907,10178,2963,,,,,,,,,,,,,,,,,,,2018
Archer Heights,13233,4016,2933,2879,1897,907,369,231,33.06169965,2477,10178,79,439,60,13231,10012,6700,6038,662,3312,80,5742,3582,878,935,329,19,N/A,600,1556,1107,642,8151,2599,2881,1535,278,663,195,946,1149,787,384,493,148,44948.55967,3906,2188,1719,361,4267,1904,44,1092,1019,183,5.568301887,24,808,2248,1187,,353,1497,1762,393,263,541,1461,164,15,179387.4172,4679,Manufacturing,Administration,Accommodation and Food Service,Retail Trade,Health Care,718,539,511,510,433,9743,Manufacturing,Transportation,Administration,Wholesale Trade,Retail Trade,3154,1902,1395,814,766,Outside of Chicago,The Loop,Near North Side,Near West Side,Archer Heights,1821,598,293,255,251,Outside of Chicago,South Lawndale,Gage Park,Brighton Park,West Lawn,5060,284,266,262,258,,,,,,,,,,,,,,,,15621,,,,,,,,,,1.504478182,1283.804076,168.5504569,0.13128986,68.80594191,0.05359536,18.17661924,0.014158406,52.72312355,0.041067889,37.96304059,0.029570743,333.6055192,0.259857034,555.8869363,0.432999822,n/a,n/a,15.00514554,0.011688034,33.08729291,0.025772852,857,820,711,1518,2957,551,949,520,5,64,451,1449,215,346,889,771,354,236,182,1012,729,246,37,6810,5468,12278,2291,9988,4447,2291,8451,1118,301,29,24,0,0,64,0,6752,5485,74,48,285,,,,,,,,,,,,,,,,,,,2018
Armour Square,13699,2997,2824,2539,2541,1371,1043,385,42.05820106,1599,423,1248,10299,130,13674,11536,6688,5879,809,4848,187,5523,2159,1003,1012,1234,114,N/A,2088,2168,782,125,9974,3342,3010,920,505,1313,884,2483,1136,648,324,425,149,26543.20988,5165,1912,3252,527,5690,381,674,855,1114,2653,4.817002882,767,2163,895,1865,,1414,1813,2049,261,153,257,830,689,133,280661.7647,4828,Accommodation and Food Service,Health Care,Retail Trade,Manufacturing,Professional,931,623,423,418,364,5107,Accommodation and Food Service,Administration,Arts and Entertainment,Health Care,Retail Trade,1531,797,758,718,360,Outside of Chicago,The Loop,Armour Square,Near North Side,Near West Side,1518,768,665,314,261,Outside of Chicago,Bridgeport,Armour Square,Brighton Park,McKinley Park,1236,724,665,256,237,,,,,,,,,,,,,,,,8150,,,,,,,,,,2.176483779,637.4241471,56.11815354,0.088038951,79.23643807,0.124307243,9.858423032,0.015466033,89.51277156,0.1404289,11.24928064,0.01764803,18.03499949,0.028293562,343.6325199,0.539095548,n/a,n/a,15.01918641,0.023562312,14.76237447,0.023159421,1632,1426,829,1277,3293,362,1872,1666,165,389,1112,1586,179,407,1000,647,329,160,158,890,580,228,82,4922,8144,13066,3684,9382,6940,3684,235,25,8758,0,1,6,138,218,0,2062,448,2046,7305,171,,,,,,,,,,,,,,,,,,,2018
Ashburn,43283,12983,8368,8998,8477,2855,977,625,35.50751223,5044,16374,20721,314,830,42697,33085,22477,19608,2869,10608,320,18643,13105,2592,2763,130,53,N/A,860,4331,5142,2500,26882,4417,8141,6584,2239,3595,1906,2021,2673,2653,2166,2215,1105,65498.63853,12833,10784,2049,649,13482,11887,103,347,388,748,6.565041823,235,2039,10408,800,,373,2421,6905,2802,981,4497,5931,262,85,159912.0659,16531,Health Care,Education,Public Administration,Retail Trade,Manufacturing,2208,2143,1706,1574,1409,5380,Retail Trade,Health Care,Utilities,Administration,Accommodation and Food Service,1144,998,811,441,382,Outside of Chicago,The Loop,Near North Side,Near West Side,Ashburn,6818,3795,847,844,288,Outside of Chicago,Ashburn,Auburn Gresham,Chicago Lawn,South Shore,2880,288,191,135,97,,,,,,,,,,,,,,,,18740,,,,,,,,,,1.802752357,3109.741438,1267.654974,0.407639992,41.0147385,0.013189115,9.861780477,0.003171254,132.2606009,0.04253106,182.6937832,0.058748866,103.8056305,0.033380791,1071.498311,0.344561865,n/a,n/a,259.8666136,0.083565344,41.08500641,0.013211711,2447,3001,2672,4713,10089,1770,2744,1486,37,151,1298,3063,599,353,2111,2653,729,921,1003,5486,3899,1314,273,33201,7343,40544,26603,13941,5006,26603,12485,219,49,77,444,9,91,309,258,14546,6674,17045,408,911,,,,,,,,,,,,,,,,,,,2018
Auburn Gresham,45770,11432,9224,7941,9587,4041,2700,845,39.65733389,257,614,44267,153,479,45656,36987,20671,15788,4876,16316,635,14864,8898,960,4638,265,103,N/A,5582,7574,3209,914,31118,5356,10100,8973,2113,2771,1805,7497,4448,2661,1297,1054,322,29820.67511,17279,7529,9750,3304,20583,8613,307,4152,3445,4031,5.842695514,732,1727,9724,8400,,3573,7132,6686,2264,928,4671,2670,175,13,130068.1618,14500,Health Care,Retail Trade,Administration,Education,Transportation,2816,1599,1562,1469,1226,2554,Retail Trade,Transportation,Accommodation and Food Service,Health Care,Manufacturing,619,343,334,225,178,Outside of Chicago,The Loop,Near North Side,Near West Side,Near South Side,4988,2709,1091,896,267,Outside of Chicago,Auburn Gresham,South Shore,Chicago Lawn,Roseland,957,240,83,74,73,,,,,,,,,,,,,,,,10796,,,,,,,,,,1.732237832,2411.968642,800.1402725,0.331737428,319.4367425,0.132438182,22.1472367,0.009182224,90.51849484,0.037528885,109.0889485,0.045228179,54.89306421,0.022758614,834.3641343,0.345926609,n/a,n/a,59.34399755,0.024603967,122.0357504,0.050595911,6075,4776,2929,3499,10610,2694,6669,5249,87,433,4729,5782,952,1525,3305,2644,1095,1136,413,2660,2082,426,152,42495,737,43232,42479,753,224,42479,377,2,0,20,0,11,61,202,80,237,347,54862,45,437,,,,,,,,,,,,,,,,,,,2018
Austin,97611,27986,20929,18001,18709,7336,3498,1152,34.9148655,4407,12270,79668,475,791,96571,75407,41617,34244,7364,33790,906,32683,19572,2368,9518,690,535,N/A,10651,13091,6320,2317,61875,13410,22597,13151,4490,5481,2746,13062,8848,4561,2583,2362,963,31919.54759,32379,12960,19419,4834,37213,9847,615,11490,6869,8293,5.769590931,1261,2443,8837,24672,,6583,14019,11165,3422,2024,5467,6030,1255,202,164494.8335,33535,Health Care,Administration,Retail Trade,Accommodation and Food Service,Education,6078,4046,3793,2917,2703,15815,Health Care,Administration,Retail Trade,Manufacturing,Construction,3998,2293,2288,2140,1059,Outside of Chicago,The Loop,Near North Side,Near West Side,Austin,15317,4817,1990,1695,1172,Outside of Chicago,Austin,Lake View,Belmont Cragin,Near North Side,7797,1172,312,299,273,,,,,,,,,,,,,,,,10556,,,,,,,,,,0.69933427,4574.247078,958.052872,0.209444933,794.1884294,0.173621673,62.31247312,0.013622455,206.1060424,0.045057916,206.2583587,0.045091215,499.2045646,0.109133712,1470.444483,0.321461534,n/a,n/a,199.7012992,0.043657742,177.9785561,0.03890882,9990,8538,5202,8649,21036,5987,11343,9128,233,467,8428,11353,1157,2590,7606,4528,1602,1626,1300,5886,4058,1349,479,85410,4859,90269,78858,11411,4262,78858,9805,484,0,135,148,97,72,575,95,5662,4841,105369,642,1013,,,,,,,,,,,,,,,,,,,2018
Avalon Park,9795,2150,1676,1668,2329,1045,651,277,44.83856894,37,68,9573,19,99,9782,8217,4294,3255,1039,3923,182,2905,2028,268,591,9,9,N/A,952,1693,958,269,7075,852,1689,2443,492,1066,533,1387,986,478,488,343,191,37670.94017,3873,2528,1344,625,4497,2760,233,362,441,701,6.340336134,428,293,1889,1887,,1016,935,1444,689,413,1004,1411,72,41,160743.8017,3262,Health Care,Education,Public Administration,Retail Trade,Administration,596,453,339,313,286,3101,Health Care,Construction,Accommodation and Food Service,Other Service,Retail Trade,1959,346,136,125,123,Outside of Chicago,The Loop,Near North Side,Near West Side,Avalon Park,915,814,275,182,85,Outside of Chicago,Chatham,Roseland,South Shore,Auburn Gresham,1001,144,129,122,120,,,,,,,,,,,,,,,,14159,,,,,,,,,,2.859074403,800.1087547,304.0586079,0.380021598,27.29928454,0.034119467,2.5777557,0.003221757,44.90504583,0.056123678,43.01241951,0.053758216,12.00895279,0.015009151,313.5653522,0.391903414,n/a,n/a,28.04807396,0.035055327,24.63326225,0.030787392,1563,1107,529,675,2208,490,1665,840,14,74,752,1231,237,224,771,477,131,166,180,1024,587,286,151,8967,147,9114,8932,182,33,8932,61,0,0,0,0,0,47,16,59,96,85,10816,19,131,,,,,,,,,,,,,,,,,,,2018
Avondale,38191,9226,12162,7750,5307,2173,1063,510,32.44994438,11898,23368,800,1340,785,38114,30712,21034,19633,1401,9678,790,18498,9449,1986,5814,949,300,N/A,2679,6642,3342,855,25860,6969,6215,3791,1225,4779,2881,3221,3890,2537,1428,1391,1051,47714.28571,13518,4992,8526,1620,15138,2397,376,4558,4625,3162,5.535188592,1086,898,2081,11073,,2956,6989,3952,807,434,678,2193,1689,379,278036.105,15135,Accommodation and Food Service,Health Care,Retail Trade,Professional,Manufacturing,1722,1590,1493,1430,1342,8088,Retail Trade,Manufacturing,Utilities,Accommodation and Food Service,Construction,1759,1316,1057,748,548,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,5498,2460,1310,850,533,Outside of Chicago,Avondale,Logan Square,Belmont Cragin,Portage Park,3911,343,318,228,188,,,,,,,,,,,,,,,,16583,,,,,,,,,,0.874526544,1269.297425,161.3034353,0.127080881,312.1340129,0.245910853,34.99896212,0.027573492,100.3619822,0.079068924,27.47548954,0.021646219,130.9090439,0.103135043,478.3776366,0.3768838,n/a,n/a,8.819099177,0.006948016,14.91776287,0.011752772,3687,3974,2526,3331,8045,1288,5473,2093,0,65,2028,4671,354,1182,3135,2529,728,1057,744,3870,2618,956,296,22021,13426,35447,13925,21522,10552,13925,18051,1890,60,378,98,10,392,633,10,12757,26700,669,953,2004,,,,,,,,,,,,,,,,,,,2018
Belmont Cragin,78107,24443,17805,17084,12405,4072,1615,682,32.5081865,10859,62945,2194,1333,775,77772,58425,40700,36277,4406,17725,537,34935,22374,4891,5501,1343,827,N/A,3191,8988,6781,2981,47925,17258,14394,7502,2566,4385,1819,5462,6412,4662,2118,2490,796,44795.72714,21941,10981,10961,2325,24266,9010,544,5977,5547,3096,5.663162957,1128,2118,8453,12569,,3588,9917,6759,2633,1370,2255,7157,1387,126,207223.3607,26150,Manufacturing,Retail Trade,Health Care,Administration,Accommodation and Food Service,3630,3182,3170,2758,2679,13934,Administration,Retail Trade,Accommodation and Food Service,Health Care,Manufacturing,6420,2616,968,714,659,Outside of Chicago,The Loop,Near North Side,Near West Side,Belmont Cragin,12513,2731,1365,977,975,Outside of Chicago,Belmont Cragin,Austin,Portage Park,South Lawndale,7353,975,391,289,277,,,,,,,,,,,,,,,,14137,,,,,,,,,,0.888154331,2504.577926,711.9193761,0.284247245,385.3348102,0.153852194,48.23862681,0.019260182,242.3128767,0.096747989,146.5820761,0.05852566,121.3587519,0.048454772,775.6952422,0.309710963,n/a,n/a,64.77975078,0.025864538,8.356415651,0.003336457,4351,4667,3962,8961,16684,3638,5257,3504,0,74,3430,7881,396,1890,5596,4621,1498,1467,1656,5373,3420,1381,573,41760,30010,71770,12965,58805,27126,12965,52636,4279,17,936,309,27,206,359,36,21881,50881,2000,1989,1393,,,,,,,,,,,,,,,,,,,2018
Beverly,20836,5367,2802,4448,5214,1918,818,269,42.96257796,12043,1200,7047,89,457,20810,16452,10866,10152,714,5586,418,9481,6700,593,1928,208,52,N/A,382,2775,3118,1335,14447,457,2043,2853,1048,3955,4091,744,1180,1105,1212,1337,2032,91006.60066,7610,6162,1448,424,8034,6261,72,329,242,1114,7.201153569,124,340,3818,3752,,894,1434,3218,1724,764,617,2611,2313,555,290044.2478,9791,Education,Public Administration,Health Care,Professional,Retail Trade,1810,1257,1167,760,696,3328,Health Care,Accommodation and Food Service,Retail Trade,Education,Administration,613,474,430,417,411,Outside of Chicago,The Loop,Near North Side,Near West Side,Beverly,3633,3090,488,459,322,Outside of Chicago,Beverly,Morgan Park,Roseland,Auburn Gresham,1586,322,99,92,74,,,,,,,,,,,,,,,,15506,,,,,,,,,,2.046641896,2038.093742,1043.623654,0.512058711,58.80296981,0.028851946,9.86203456,0.004838852,66.06563123,0.032415404,42.68778334,0.020944956,n/a,n/a,548.8854012,0.269313128,n/a,n/a,257.6114287,0.126398224,10.55483891,0.00517878,2018,2319,1261,2012,5325,358,2285,446,0,23,423,1324,117,488,719,1105,458,337,310,4534,3165,923,446,18762,639,19401,18449,952,199,18449,553,60,18,39,8,0,4,199,71,13814,643,7006,121,408,,,,,,,,,,,,,,,,,,,2018
Bridgeport,32789,6667,8973,6270,7157,2211,1040,470,36.77161654,10955,8160,863,12193,618,32764,27392,18073,16279,1794,9319,351,15657,8011,2426,3456,1481,284,N/A,3019,5538,3198,787,23516,5144,6899,3647,1516,4099,2211,3609,3458,2099,1274,1218,882,42629.65426,12540,5572,6969,1184,13726,3739,461,3387,3916,2206,5.253650255,1778,1622,1554,8772,,2163,5608,4258,1314,383,699,2658,1767,428,267845.3039,13253,Accommodation and Food Service,Health Care,Education,Retail Trade,Manufacturing,1940,1423,1215,1195,1087,4390,Manufacturing,Retail Trade,Accommodation and Food Service,Finance,Education,1395,442,405,375,354,Outside of Chicago,The Loop,Near North Side,Near West Side,Armour Square,4070,2503,1037,939,724,Outside of Chicago,Bridgeport,New City,Brighton Park,Armour Square,1670,540,117,117,99,,,,,,,,,,,,,,,,11837,,,,,,,,,,1.953005605,1338.189154,243.5632646,0.182009594,224.911109,0.168071239,31.11269615,0.023249849,55.91002938,0.041780364,32.91951114,0.024600043,135.1449773,0.100990938,491.1837219,0.367051041,n/a,n/a,47.65808698,0.035613864,75.78575763,0.056633068,3796,3607,2582,2556,7502,983,5038,2314,45,111,2158,4301,400,1317,2584,2068,1073,473,522,3330,2347,723,260,19123,11703,30826,14091,16735,8952,14091,5028,212,10421,104,20,74,190,676,11,13819,10165,354,8808,548,,,,,,,,,,,,,,,,,,,2018
Brighton Park,44231,14750,10005,10001,6233,1898,915,429,31.19668588,2798,37468,453,3253,259,44156,32664,20782,18383,2397,11882,244,17746,10746,2582,3421,807,190,N/A,1881,5111,3653,1540,25981,11325,7928,3322,1132,1693,581,3455,4329,2134,1062,819,386,38673.09698,12185,5778,6407,1767,13952,3305,255,6474,3475,411,5.354411015,444,1171,2972,9365,,1196,5980,5104,1126,546,2158,3152,388,80,167159.6244,12544,Manufacturing,Accommodation and Food Service,Administration,Retail Trade,Health Care,1838,1527,1455,1400,1238,5273,Manufacturing,Retail Trade,Wholesale Trade,Administration,Accommodation and Food Service,1460,844,782,594,363,Outside of Chicago,The Loop,Near North Side,Near West Side,Brighton Park,4695,1506,769,691,517,Outside of Chicago,Brighton Park,Gage Park,South Lawndale,Chicago Lawn,2328,517,172,160,119,,,,,,,,,,,,,,,,13383,,,,,,,,,,0.910937306,1742.258738,246.0825852,0.141243421,304.0917533,0.174538802,27.38520041,0.015718217,79.46826679,0.045612207,46.85359734,0.026892445,276.7525712,0.158846998,697.3621512,0.400263254,n/a,n/a,8.12304284,0.004662363,56.13957024,0.032222292,2084,2345,2121,5635,9650,1686,2535,2165,42,33,2090,5143,624,1600,2919,2092,1090,417,585,2218,1696,417,105,20867,20419,41286,6323,34963,16521,6323,31490,247,2742,89,8,0,113,224,50,8300,34409,221,1288,694,,,,,,,,,,,,,,,,,,,2018
Burnside,2442,687,463,315,447,313,155,62,38.69791667,11,0,2419,0,12,2442,1961,1029,840,189,932,13,778,370,132,276,0,0,N/A,417,308,126,75,1523,285,434,454,139,98,113,473,226,49,95,63,20,24462.36559,926,437,489,378,1304,685,53,221,117,228,5.788359788,263,153,348,540,,337,293,402,202,70,329,102,6,0,99953.27103,842,Health Care,Education,Administration,Accommodation and Food Service,Retail Trade,166,112,89,80,79,2344,Transportation,Manufacturing,Health Care,Retail Trade,Other Service,1529,507,112,90,52,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,307,166,68,52,21,Outside of Chicago,Auburn Gresham,Greater Grand Crossing,Roseland,South Shore,827,107,102,94,93,,,,,,,,,,,,,,,,15618,,,,,,,,,,1.001540734,390.174082,67.20556194,0.17224507,13.89242205,0.035605702,1.649768543,0.004228288,14.60364296,0.037428532,7.372730935,0.018896004,116.3595538,0.298224713,130.6471602,0.334843256,n/a,n/a,7.018790969,0.01798887,31.42445061,0.080539564,442,207,42,235,451,91,475,363,32,42,289,308,43,71,194,49,13,27,9,178,156,7,15,2232,93,2325,2248,77,26,2248,0,0,0,0,0,0,0,70,7,40,34,3180,7,33,,,,,,,,,,,,,,,,,,,2018
Calumet Heights,13306,2509,1883,2803,2875,1661,1072,503,47.07974138,161,465,12566,12,102,13300,11401,6306,5395,911,5095,178,5113,3236,434,1342,77,24,N/A,916,2475,1415,492,10071,1138,2628,2713,968,1545,1079,1476,1276,904,758,695,189,48160.71429,5298,4058,1240,721,6019,4595,176,557,454,189,6.44353562,72,350,4197,1400,,346,1463,3110,779,321,1874,2051,92,41,154961.5877,4677,Health Care,Education,Public Administration,Administration,Accommodation and Food Service,828,696,457,419,375,2097,Health Care,Accommodation and Food Service,Retail Trade,Professional,Information,1334,244,189,71,62,Outside of Chicago,The Loop,Near North Side,Near West Side,Avalon Park,1458,1309,332,302,75,Outside of Chicago,South Shore,South Chicago,Auburn Gresham,Calumet Heights,1229,59,48,45,41,,,,,,,,,,,,,,,,15263,,,,,,,,,,1.45008019,1120.896268,436.2106484,0.38916237,49.68207769,0.044323528,3.592654225,0.003205162,35.94851314,0.032071222,30.24765505,0.02698524,10.15411592,0.009058926,463.3579473,0.413381649,n/a,n/a,21.08336259,0.018809379,70.61929386,0.063002524,1809,1881,684,924,3266,475,2032,920,10,49,861,1675,448,319,908,904,412,183,309,1621,1139,375,107,12232,704,12936,11993,943,281,11993,444,0,7,0,0,0,0,333,159,206,747,14817,33,171,,,,,,,,,,,,,,,,,,,2018
Chatham,30991,7677,5925,5494,7135,2159,1733,867,39.57588207,459,311,29836,93,291,30951,24579,15032,12161,2871,9547,435,11229,6151,928,3702,287,161,N/A,4721,5857,2444,513,21151,2596,5925,6111,1701,2805,2013,5551,3558,1993,1183,933,316,32348.21429,13534,5142,8393,3066,16601,5268,534,1719,2422,6638,5.444684234,527,1575,7437,7062,,4642,5705,4659,1238,357,2521,2251,250,90,150807.1956,9908,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,1910,1226,1020,937,794,4301,Retail Trade,Finance,Other Service,Transportation,Health Care,1725,589,445,404,306,Outside of Chicago,The Loop,Near North Side,Near West Side,Chatham,2908,2198,856,630,181,Outside of Chicago,Chatham,Auburn Gresham,South Shore,Greater Grand Crossing,2031,181,139,130,122,,,,,,,,,,,,,,,,11046,,,,,,,,,,1.741491395,1889.82256,527.917895,0.279347864,255.6696329,0.135287639,17.70624295,0.009369262,178.9980698,0.094716866,69.07877111,0.036553046,46.85586672,0.024793792,685.5078653,0.362736629,n/a,n/a,34.88734955,0.018460648,73.20086639,0.038734254,5903,3509,2335,1786,6900,2332,6634,3998,114,185,3699,4383,668,973,2741,1967,1024,525,418,2430,1986,289,155,28103,565,28668,27464,1204,277,27464,661,28,20,0,0,0,21,157,316,121,220,36538,24,372,,,,,,,,,,,,,,,,,,,2018
Chicago Lawn,54265,17878,12399,10881,8698,2865,1099,445,31.10250372,1973,26109,25023,304,856,53962,40169,25890,20233,5657,14279,430,18947,11576,2671,3999,658,43,N/A,4403,5809,3914,1789,31826,9412,11457,6620,1786,1845,706,6195,4867,2299,1362,852,340,33616.30322,15915,6902,9013,2926,18841,7660,152,4186,4009,2792,5.734544142,305,1724,10675,6137,,3253,6059,6337,2039,1153,4592,2153,111,46,122447.1299,16455,Health Care,Administration,Retail Trade,Manufacturing,Accommodation and Food Service,2375,1943,1822,1803,1661,3543,Retail Trade,Health Care,Accommodation and Food Service,Other Service,Transportation,1744,440,304,226,186,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,7170,2017,914,862,308,Outside of Chicago,Chicago Lawn,Gage Park,Ashburn,West Lawn,1719,238,85,80,79,,,,,,,,,,,,,,,,13492,,,,,,,,,,0.014713563,2256.186074,672.6226912,0.298123767,255.7734987,0.113365427,34.14004797,0.015131752,105.4977577,0.046759334,65.37077737,0.028974019,54.71098352,0.024249322,706.7595108,0.313254088,n/a,n/a,308.4197976,0.136699628,52.89100968,0.023442663,4013,3623,2254,6025,11118,3007,4797,4135,130,140,3865,6155,690,1430,4035,2299,900,790,609,2501,1922,509,70,36985,12730,49715,27056,22659,10362,27056,21831,73,37,57,104,0,16,482,59,6190,21534,32240,393,1055,,,,,,,,,,,,,,,,,,,2018
Clearing,25200,6556,5422,5525,4469,1837,859,532,36.80919139,11672,12527,340,361,300,25190,19758,13478,12123,1355,6280,157,11752,8297,1097,1798,457,103,N/A,833,3332,3464,1025,17141,2591,6755,3556,1300,2094,845,1598,1790,1887,1415,1417,547,62908.16327,8654,5979,2675,509,9163,5265,516,571,881,1911,5.707330618,339,2293,5517,1014,,904,2658,4269,904,428,1470,4062,424,7,188020.2312,10539,Education,Public Administration,Health Care,Manufacturing,Retail Trade,1203,1084,1037,1032,1015,3966,Manufacturing,Construction,Professional,Wholesale Trade,Real Estate,843,715,485,476,352,Outside of Chicago,The Loop,Near West Side,Near North Side,Garfield Ridge,4546,2386,481,475,281,Outside of Chicago,Clearing,Garfield Ridge,Chicago Lawn,Brighton Park,2619,213,92,76,75,,,,,,,,,,,,,,,,17022,,,,,,,,,,1.865458355,1633.26891,517.2850057,0.316717598,77.17083418,0.047249313,10.4125087,0.006375257,45.0972196,0.027611632,19.76108733,0.012099102,131.3054025,0.080394234,782.2995146,0.478977779,n/a,n/a,34.39319257,0.021057887,15.54414464,0.009517199,2079,2589,1210,2776,6153,810,2501,1075,61,65,949,2215,412,492,1311,1887,814,538,535,3365,2169,991,205,18499,4966,23465,12921,10544,3378,12921,7791,1747,0,158,164,64,45,559,16,17047,4688,137,152,307,,,,,,,,,,,,,,,,,,,2018
